Date,Basmati_Rice_Price,Maza_Rice_Price,LATITUDE,LONGITUDE,ELEVATION,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,HDSD,HTDD,TAVG,TMAX,TMIN
1/1/2015,94.25,78.49,21.754428571428573,43.41978571428571,977.4071429,90.14285714285714,90.14285714285714,0,0.7692307692307693,0,22.3,2.5,40,89.8,118.5,152.57142857142858,63.72222222222222,76.86,49.00769230769231
2/1/2015,93.49,77.55,22.402214285714287,42.68328571428572,906.0857142857144,301.8333333333333,169.71428571428572,0,0,0,24.5,6.1,45.45454545454545,91.5,122,10,70.95714285714287,82.97999999999999,54.92727272727273
3/1/2015,92.73,76.61,22.351,42.5029375,909.21875,658.8,240,0,0,0,27.83333333333333,11.75,51.38461538461539,95.75,127,29.625,73.03333333333333,86.95833333333333,60.46923076923077
4/1/2015,91.97,75.66999999999999,23.57028510526316,42.54900142105263,729.4421052631578,1112.2,385.77777777777777,0,0,0,27.31578947368421,15.210526315789474,59,100.57894736842104,127,10.666666666666666,78.99090909090908,90.83157895,66.56363636363636
5/1/2015,91.21,74.72999999999999,23.25882085,42.583901350000005,775.895,1892.75,654,0,0,0,28.31578947368421,23.210526315789476,67.4375,106.63157894736842,127,0,87.61999999999999,99.19473684210529,75.25
6/1/2015,90.45,73.78999999999999,23.63836595652174,43.121740304347824,760.7043478,2558,654.8888888888889,0,0,0,28.11111111111111,25.72222222222222,70.3125,108.72222222222224,127,0,88.80909090909091,103.20555555555556,76.5
7/1/2015,89.69,72.85,22.815944444444444,42.64622222222223,842.9833333333333,2222.132176,736.8779599271403,0,0,0,28.27777777777778,26.88888888888889,74.6,110,117.37878787878788,0,94.46,105.3111111111111,80.56
8/1/2015,88.92999999999999,71.91,23.306928045454548,42.68050122727273,711.2954545454545,1875.0687583444594,821.6,0,0,0,28.90909090909091,27.13636363636364,74.92307692307692,111.86363636363636,107.43686868686869,0,94.76153846153846,106.35,81.26153846153846
9/1/2015,88.17,70.97,23.678545454545453,42.42722727272727,798.55,1528.0053404539387,689.5,0,0,0,28.26315789473684,25.473684210526315,70.64705882,108.26315789473684,97.49494949,0,89.72142857142856,101.88947368421051,76.97647058823529
10/1/2015,87.41,70.03,23.02912085,42.63985135,745.595,1192.1375166889188,501.4166666666667,0,0,0,29.058823529411764,21.352941176470587,63.73684210526316,101.47058823529412,87.87373737373738,0,81.9125,94.78823529411764,70.07894736842105
11/1/2015,86.64999999999999,69.08999999999999,23.28132085,42.46220135,779.845,845.0740987983982,337.44444444444446,0,0,0,25.73684210526316,7.263157894736842,55.75,91.84210526315788,77.93181818181819,2,74.02666666666667,83.29473684210525,62.3125
12/1/2015,85.89,68.14999999999999,23.60573414285714,42.694287,736.0142857142857,509.206275,121.5,0,1,0,17,1.9047619047619049,45.1,83.85714285714286,68.31060606060606,152.5,63.720000000000006,72.5,52.75
1/1/2016,85.13,67.21,23.5072,42.62405,786.5350000000001,162.14285714285714,162.14285714285714,0,0.4166666666666667,0,17.526315789473685,1.4736842105263157,41.66666666666666,83.42105263157895,58.36868686868688,40.142857142857146,65.33636363636364,72.63684210526316,53.78333333333333
2/1/2016,84.80583333333333,66.49416666666666,23.42685,42.25085,797.08,318,106.22222222222224,0,0.3333333333333333,0,22.42105263157895,3.3157894736842106,43.888888888888886,91.10526315789474,48.42676767676768,98.66666666666669,66.35882352941177,78.73157894736842,53.25
3/1/2016,84.48166666666665,65.77833333333332,24.0915,42.56815,740.88,964,391.8,0,0,0,27.55555555555556,9.888888889,56.81818181818182,95.88888888888889,39.12626262626263,0.4,77.77777777777777,85.84444444444445,64.74545454545455
4/1/2016,84.1575,65.0625,22.923166666666667,42.41455555555555,826.0722222222223,2178,377.25,0,0,0,27.11764705882353,13.352941176470589,56.125,98.35294118,29.184343434343447,9.25,80.25714285714285,89.08235294117648,67.6375
5/1/2016,83.83333333333333,64.34666666666666,23.160526315789475,42.37605263157894,835.3315789473685,3004,542.2222222222222,0,0,0,29.47058823529412,22.294117647058822,63.38461538461539,106.41176470588236,19.563131313131322,0,82.96363636363637,98.13529411764704,70.54615384615384
6/1/2016,83.50916666666666,63.63083333333333,22.5989375,42.1916875,921.8125,3844,680.1428571428571,0,0,0,27.466666666666665,25.6,69.66666666666667,109.33333333333331,9.621212121212125,0,89.54545454545455,103.34,75.825
7/1/2016,83.185,62.91499999999999,23.348684210526315,42.076578947368425,798.5842105263158,3325.308411214953,719.25,0,0,0,29.11111111111111,27.55555555555556,74.58333333333333,109.38888888888889,0,0,93.39090909090908,104.02222222222224,79.91666666666667
8/1/2016,82.86083333333333,62.19916666666666,22.884888888888888,42.07827777777778,809.4055555555556,2789.3271028037384,788.5833333333334,0,0,0,29.166666666666668,26.944444444444443,72.26666666666667,109.11111111111111,0,0,92.10666666666664,104.30555555555556,78.98666666666666
9/1/2016,82.53666666666666,61.48333333333333,23.299631578947366,42.343105263157895,810.4,2253.345794392523,664.9166666666666,0,0,0,28.73333333333333,24.866666666666667,67.94117647058823,107,0,0,88.5,100.60666666666664,74.92352941
10/1/2016,82.21249999999999,60.7675,23.75678947368421,42.41221052631579,750.2473684210527,1734.6542056074768,465.6666666666667,0,0,0,29.133333333333333,20.53333333333333,60.23529411764706,98.73333333333332,0,0,79.83076923076922,93.51333333333334,65.16470588235293
11/1/2016,81.88833333333332,60.05166666666666,23.833409090909093,41.96904545454545,805.5045454545456,1198.6728971962616,241.45454545454547,0,0,0,26.105263157894736,6.789473684210527,48.86666666666667,92.63157894736842,13,8.636363636363637,72.27499999999999,83.23157894736842,57.78666666666666
12/1/2016,81.56416666666667,59.33583333333333,23.5072,42.62405,786.5350000000001,679.9813084112152,186.88888888888889,0,0,0,21.72222222222222,3.2777777777777777,49.285714285714285,85.83333333333333,73.5,33.55555555555556,69.00833333333334,76.93333333333334,55.54285714285714
1/1/2017,81.24,58.62,23.533125,42.2229375,674.50625,144,144,0,1.4615384615384617,0,16.75,3,44.84615384615385,82.375,275,191.5,59.58,72.6875,51.01538461538462
2/1/2017,81.49249999999999,59.2325,24.0645625,42.051125,604.85,369.5,101.5,0,1.8333333333333333,0,14.5,1.5,42.75,83.6,227.90055248618785,197.25,60.8,71.58,52.46666666666667
3/1/2017,81.74499999999999,59.845,23.93725,42.240125,572.06875,642,214.66666666666663,0,0,0,25.666666666666668,4.555555555555555,54.72727272727273,90.55555555555556,185.35911602209944,45,71.225,82,62.47272727272728
4/1/2017,81.9975,60.4575,23.620470588235293,42.20658823529411,690.0411764705883,595.0947712,494,0,0,0,25.5,16.75,59.333333333333336,103.875,138.2596685082873,0,77.56666666666666,92.9,67.20833333333333
5/1/2017,82.25,61.07,23.505692307692307,42.44169230769231,580.4461538461538,549.7026143790849,816,0,0,0,27.857142857142858,22.428571428571427,66.8,110.57142857142856,92.67955801104972,0,88.44999999999999,100.51428571428572,75.01
6/1/2017,82.5025,61.6825,24.201666666666664,42.1242,660.12,502.79738562091507,726,0,0,0,28.142857142857142,26.857142857142858,70.38461538461539,113.14285714285714,45.58011049723757,0,90.52,104.8,77.46153846153847
7/1/2017,82.755,62.295,23.739733333333334,42.35866666666666,635.2199999999999,457.4052287581699,913.5,0,0,0,29.25,29.25,76.92857142857143,116.375,0,0,97.87142857142858,110.125,82.57857142857142
8/1/2017,83.0075,62.9075,24.738,42.345928571428566,632.2928571428572,410.5,860.8,0,0,0,28.625,28.625,74.83333333333333,115.375,0,0,96.25,109.0125,81.70833333333333
9/1/2017,83.25999999999999,63.52,23.934809523809527,42.40928571428572,738.2,363.5947712418301,787.8333333333334,0,0,0,28.55555555555556,28.33333333333333,69.47368421052632,112.22222222222224,0,0,92.61428571428571,105.58888888888887,75.83684210526316
10/1/2017,83.51249999999999,64.1325,23.88365,42.1948,743.885,318.20261437908493,447.2,0,0,0,28.77777777777778,20.77777777777778,60.888888888888886,102.66666666666669,2,1,82.08571428571429,96.51111111111112,66.62222222222222
11/1/2017,83.765,64.745,23.533125,42.2229375,674.50625,271.2973856,348.3333333333333,0,0,0,26.375,9.5,53.083333333333336,93.75,0,35.333333333333336,75.05000000000001,84.4875,60.28333333333333
12/1/2017,84.0175,65.3575,23.154764705882357,42.03558823529412,735.4941176470588,225.90522875816993,202.33333333333331,0,0.076923077,0,21,5.444444444444445,42.30769230769231,88.11111111111111,0,56,66.66,78.19999999999999,50.34615384615385
1/1/2018,84.27,65.97,23.908,41.9998125,608.9375,179,179,0,0.090909091,0,16.22222222222222,2.2222222222222223,41.81818181818182,81.77777777777777,0,106,66.075,72.6,50.13636363636363
2/1/2018,84.20083333333334,66.225,23.765666666666664,42.24055555555556,668.8666666666667,71,40.333333333333336,0,0,0,21.88888888888889,3.888888888888889,42.86666666666667,91.77777777777776,0,107.33333333333331,66.60000000000001,79.96666666666667,54.42
3/1/2018,84.13166666666666,66.48,24.28633333333333,42.22377777777778,652.7166666666667,371,419.5,0,0,0,28.125,15.125,55.75,101.375,0,0.25,76.95,89.2875,62.85
4/1/2018,84.0625,66.735,23.73605882352941,42.33435294117647,689.1235294117647,346.25210084033614,548,0,0,0,27.25,15,60.42857142857143,100.25,0,0,78.82000000000001,90.5,67.19285714285714
5/1/2018,83.99333333333333,66.99,23.83333333333333,42.19526666666666,524.88,322.30252100840335,286,0,0,0,28.33333333333333,25.916666666666668,68.5,109.08333333333331,0,0,87.77142857142857,100.425,75.28999999999999
6/1/2018,83.92416666666666,67.245,23.154764705882357,42.03558823529412,735.4941176470588,297.5546218487395,699.375,0,0,0,28.9375,27.9375,73,109.5,0,0,91.86666666666666,103.31875,79.69
7/1/2018,83.85499999999999,67.5,23.449350000000003,42.12915,801.03,273.6050420168067,816.1,0,0,0,29.705882352941178,28.764705882352946,74.57142857142857,109,0,0,92.16363636363636,103.5470588235294,79.56428571428572
8/1/2018,83.78583333333333,67.755,23.335176470588237,42.02776470588236,754.6705882352941,248.85714285714286,715.6666666666666,0,0,0,29.625,28.8125,73.46153846153847,108.375,0,0,90.78333333333336,103.66875,78.27692307692308
9/1/2018,83.71666666666667,68.01,22.7594375,42.4695,852.2687500000001,224.1092437,639.1428571428571,0,0,0,27.25,25.4375,71,106.75,0,0,89.70833333333333,101.2,76.35000000000001
10/1/2018,83.6475,68.265,23.34633333333333,42.0476,789.3666666666667,200.1596638655462,443.6666666666667,0,0,0,29,17.071428571428573,58.5,98.64285714285714,0,2.888888888888889,81.06666666666666,91.29285714285712,68.62
11/1/2018,83.57833333333333,68.52,22.7594375,42.4695,852.2687500000001,175.41176470588235,311.8,0,0,0,24.125,5.4375,55.55555555555556,87.25,1.5,1.2,72.65555555555555,80.40625,61.36666666666666
12/1/2018,83.50916666666666,68.775,22.967352941176472,42.21035294117648,838.7823529411766,151.46218487394958,105.14285714285714,0,0,0,23.25,0.8125,47,82.5625,25.666666666666668,39.285714285714285,65.03636363636363,76.03125,53.475
1/1/2019,83.44,69.03,23.1538125,42.1846875,817.15625,126.71428571428572,126.71428571428572,0,1,0,22.1875,0.625,46.875,84.4375,47,90.42857142857144,65.8,76.14375,53.1375
2/1/2019,83.55833333333334,69.1075,23.2805,42.44528571428572,740.0857142857142,370.2,189.66666666666663,0,0,0,20.357142857142858,2.5,48.57142857142857,87.92857142857143,74,14,69.07142857142857,76.83571428571429,56.94285714285714
3/1/2019,83.67666666666666,69.185,22.967352941176472,42.21035294117648,838.7823529411766,698,283.3333333333333,0,0,0,25.823529411764707,5.941176470588236,48.9,92.29411764705884,83,18.5,70.81,81.09411764705882,58.260000000000005
4/1/2019,83.795,69.2625,23.01173333333333,41.698,859.6866666666667,1271.6666666666667,349,0,0,0,27.066666666666663,11.666666666666666,55.25,97.33333333333331,129,17.857142857142858,75.55833333333334,87.74,63.575
5/1/2019,83.91333333333333,69.34,23.5481875,41.999875,726.2624999999999,1834.5,631.3333333333334,0,0,0,28.25,23.125,64.55555555555556,106,129,0,86.92222222222222,98.2,74.16666666666667
6/1/2019,84.03166666666667,69.4175,24.14805882352941,42.33664705882353,675.0235294117647,2544,793.7142857142857,0,0,0,28.2,28.133333333333333,72.84615384615384,111.6,129,0,91.89090909090908,105.33333333333331,79.26153846153846
7/1/2019,84.15,69.495,24.013,42.32684210526316,765.4368421052632,3316,807.2222222222222,0,0,0,29.764705882352946,29.47058823529412,73.35714285714286,109.94117647058825,0,0,90.75833333333333,104.71176470588236,78.57142857142857
8/1/2019,84.26833333333333,69.57249999999999,24.14205882352941,42.353529411764704,653.0470588235294,2594,736.5714285714286,0,0,0,28.8125,28.0625,73.08333333333333,110.75,0,0,91.48181818181818,104.75,78.88333333333334
9/1/2019,84.38666666666667,69.64999999999999,24.18177777777778,42.22983333333333,726.5722222222222,2071.9640522875816,661.8333333333334,0,0,0,27.4,26.9,69.875,111.8,0,0,89.6875,104.72,75.46875
10/1/2019,84.505,69.72749999999999,24.457166666666662,42.160583333333335,613.5833333333334,1566.7679738562092,553,0,0,0,28.142857142857142,21.714285714285715,62.5,103.85714285714286,0,0,82.2,94.75714285714284,70.025
11/1/2019,84.62333333333333,69.80499999999999,25.09847058823529,42.25588235294118,603.0882352941177,1044.7320261437908,181.2,0,0.1666666666666666,0,23.25,4.916666666666667,48.66666666666666,92.16666666666669,40,49,69.68571428571428,81.13333333333334,60.475
12/1/2019,84.74166666666666,69.8825,24.9525625,42.2916875,578.15625,539.5359477124184,99,0,0,0,19.363636363636363,0.3636363636363636,46.3,82.72727272727273,168,64.5,64,74.11818181818181,54.61
1/1/2020,84.86,69.96,24.9525625,42.2916875,578.15625,17.5,17.5,0,0.4545454545454545,0,12.833333333333334,0,40.18181818181818,80,477,200,58.35714285714285,68.29166666666667,49.00909090909091
2/1/2020,85.42333333333333,70.42166666666667,24.80176923076923,41.79730769230769,577.8692307692307,115.5,57,0,0.375,0,18.444444444444443,0.6666666666666666,46.375,85.66666666666667,626,155.33333333333334,62.625,73.42222222222222,55.325
3/1/2020,85.98666666666666,70.88333333333333,24.465083333333336,42.29291666666666,663.8249999999999,113.58109452736318,73.5,0,0,0,25.857142857142858,4.142857142857143,51.125,92.71428571428572,505.7748344370861,72.5,67.26666666666667,80.65714285714286,59.7875
4/1/2020,86.55,71.345,23.6798125,42.1018125,772.03125,111.52985074626865,393.27272727272725,0,0,0,28.125,15.5,58.23076923076923,99.25,377.2582781456954,2.636363636363636,79.22307692307693,90.2625,66.90769231
5/1/2020,87.11333333333333,71.80666666666666,23.81733333333333,42.37855555555555,731.5388888888888,109.54477611940298,640.5555555555555,0,0,0,29.166666666666668,24.5,66.8,106.44444444444444,252.88741721854302,0.5555555555555556,87.28999999999999,98.60555555555555,74.76
6/1/2020,87.67666666666666,72.26833333333333,23.359823529411766,42.134470588235295,849.5764705882353,107.49353233830846,709.5555555555555,0,0,0,27.8125,26.4375,69.30769231,109,124.37086092715231,0,90.43333333333334,102.75,75.92307692307692
7/1/2020,88.24000000000001,72.72999999999999,24.44064705882353,42.57652941176471,642.0647059,105.50845771144277,805.25,0,0,0,29.176470588235293,28.94117647058824,73.69230769,113.3529411764706,0,0,94.58461538461538,107.0529411764706,81.63846153846154
8/1/2020,88.80333333333334,73.19166666666666,24.236833333333337,42.310500000000005,742.1388888888889,103.45721393034825,754.0833333333334,0,0,0,29,27.133333333333333,73.0625,108.8,0,0,91.56153846153846,102.64666666666668,79.4875
9/1/2020,89.36666666666667,73.65333333333334,23.9144375,42.714375,771.025,101.40597014925372,669.5384615384615,0,0,0,28.928571428571427,28.714285714285715,69.26666666666667,108.07142857142856,0,0,89.56923076923077,103.58571428571427,75.41333333333334
10/1/2020,89.93,74.115,24.09933333333333,42.58916666666667,721.1666666666666,99.42089552238804,390.9090909090909,0,0,0,29.466666666666665,18.2,57.88235294117647,100.26666666666668,0,0,78.5,92.69333333333334,64.70588235294117
11/1/2020,90.49333333333334,74.57666666666667,23.274,42.8884375,897.275,97.36965174129352,254.8,0,0,0,24.866666666666667,5.666666666666667,51.15384615384615,90,0.25,1.2,70.25833333333334,82.61999999999999,58.02307692307692
12/1/2020,91.05666666666669,75.03833333333333,23.70025,42.2759375,744.1999999999999,95.38457711442784,116.85714285714286,0,0,0,21.384615384615383,1.5384615384615383,46.25,86.07692307692308,25.5,51.42857142857143,65.32222222222222,76.34615384615384,53.375
1/1/2021,91.62,75.5,23.821466666666662,41.55393333333333,645.2733333333333,93.33333333333331,93.33333333333331,0,0.090909091,0,20.285714285714285,0.7142857142857143,44.09090909090909,85.07142857142857,76.75,64.44444444444444,65.06,75.87142857142858,52.83636363636364
