Date,Basmati_Rice_Price,Maza_Rice_Price,LATITUDE,LONGITUDE,ELEVATION,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,HDSD,HTDD,TAVG,TMAX,TMIN,average_sentiment,sum_of_retweets,sum_of_likes,sum_of_engagements,sum_of_log_scaled_engagement,average_weighted_sentiment,sum_of_positive_sentiment,sum_of_neutral_sentiment,sum_of_negative_sentiment
2015-01-01,94.25,78.49,21.754428571428573,43.41978571428571,977.4071429,90.14285714285714,90.14285714285714,0,0.7692307692307693,0,22.3,2.5,40.0,89.8,118.5,152.57142857142858,63.72222222222222,76.86,49.00769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,93.49,77.55,22.402214285714287,42.68328571428572,906.0857142857144,301.8333333333333,169.71428571428572,0,0.0,0,24.5,6.1,45.45454545454545,91.5,122.0,10.0,70.95714285714287,82.97999999999999,54.92727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,92.73,76.61,22.351,42.5029375,909.21875,658.8,240.0,0,0.0,0,27.83333333333333,11.75,51.38461538461539,95.75,127.0,29.625,73.03333333333333,86.95833333333333,60.46923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,91.97,75.66999999999999,23.57028510526316,42.54900142105263,729.4421052631578,1112.2,385.77777777777777,0,0.0,0,27.31578947368421,15.210526315789474,59.0,100.57894736842104,127.0,10.666666666666666,78.99090909090908,90.83157895,66.56363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,91.21,74.72999999999999,23.25882085,42.583901350000005,775.895,1892.75,654.0,0,0.0,0,28.31578947368421,23.21052631578948,67.4375,106.63157894736842,127.0,0.0,87.61999999999999,99.19473684210529,75.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,90.45,73.78999999999999,23.63836595652174,43.121740304347824,760.7043478,2558.0,654.8888888888889,0,0.0,0,28.11111111111111,25.72222222222222,70.3125,108.72222222222224,127.0,0.0,88.80909090909091,103.20555555555556,76.5,-1.0,1100.0,128.0,1228.0,7.113956109566034,-8.113956109566034,0.0,0.0,1.0
2015-07-01,89.69,72.85,22.815944444444444,42.64622222222223,842.9833333333333,2222.132176,736.8779599271403,0,0.0,0,28.27777777777778,26.88888888888889,74.6,110.0,117.37878787878788,0.0,94.46,105.3111111111111,80.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,88.92999999999999,71.91,23.306928045454548,42.68050122727273,711.2954545454545,1875.0687583444596,821.6,0,0.0,0,28.90909090909091,27.13636363636364,74.92307692307692,111.86363636363636,107.43686868686868,0.0,94.76153846153846,106.35,81.26153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,88.17,70.97,23.678545454545453,42.42722727272727,798.55,1528.0053404539387,689.5,0,0.0,0,28.26315789473684,25.473684210526315,70.64705882,108.26315789473684,97.49494949,0.0,89.72142857142856,101.88947368421051,76.97647058823529,0.0,70.0,281.0,351.0,5.863631175598097,0.0,0.0,1.0,0.0
2015-10-01,87.41,70.03,23.02912085,42.63985135,745.595,1192.1375166889188,501.4166666666667,0,0.0,0,29.058823529411764,21.352941176470587,63.73684210526316,101.47058823529412,87.87373737373738,0.0,81.9125,94.78823529411764,70.07894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,86.64999999999999,69.08999999999999,23.28132085,42.46220135,779.845,845.0740987983982,337.44444444444446,0,0.0,0,25.73684210526316,7.263157894736842,55.75,91.84210526315788,77.93181818181819,2.0,74.02666666666667,83.29473684210525,62.3125,0.0,72.0,158.0,230.0,5.442417710521793,0.0,0.0,1.0,0.0
2015-12-01,85.89,68.14999999999999,23.60573414285714,42.694287,736.0142857142857,509.206275,121.5,0,1.0,0,17.0,1.9047619047619049,45.1,83.85714285714286,68.31060606060606,152.5,63.720000000000006,72.5,52.75,0.0,2369.0,519.0,2888.0,13.692908931523874,-0.994251985987463,1.0,0.0,1.0
2016-01-01,85.13,67.21,23.5072,42.62405,786.5350000000001,162.14285714285714,162.14285714285714,0,0.4166666666666667,0,17.526315789473685,1.4736842105263157,41.66666666666666,83.42105263157895,58.36868686868688,40.142857142857146,65.33636363636364,72.63684210526316,53.78333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,84.80583333333333,66.49416666666666,23.42685,42.25085,797.08,318.0,106.22222222222224,0,0.3333333333333333,0,22.42105263157895,3.3157894736842106,43.888888888888886,91.10526315789474,48.42676767676768,98.66666666666669,66.35882352941177,78.73157894736842,53.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,84.48166666666665,65.77833333333332,24.0915,42.56815,740.88,964.0,391.8,0,0.0,0,27.55555555555556,9.888888889,56.81818181818182,95.88888888888889,39.12626262626263,0.4,77.77777777777777,85.84444444444445,64.74545454545455,-0.3333333333333333,1121.0,259.0,1380.0,18.303949514953374,-2.24522706427059,1.0,0.0,2.0
